millis,Pres,Temp,NH3,CO,NO2
3548,101163,25.8,105,924,50
3869,101160,25.8,110,928,50
4190,101161,25.8,116,930,50
4512,101163,25.8,121,933,50
4833,101157,25.8,127,936,50
millis,Pres,Temp,NH3,CO,NO2
656,101169,25.5,203,939,59
976,101164,25.5,207,944,58
1297,101167,25.5,213,948,58
1617,101166,25.5,219,949,58
1938,101169,25.5,225,950,58
2258,101162,25.5,231,951,58
2579,101165,25.5,236,952,59
2899,101166,25.5,241,952,59
3220,101165,25.5,246,953,59
3540,101164,25.5,250,953,59
3861,101167,25.5,254,953,60
4182,101164,25.5,258,953,60
4502,101164,25.5,261,953,60
4825,101164,25.5,264,953,61
5146,101164,25.5,267,953,61
millis,Pres,Temp,NH3,CO,NO2
405,101164,25.4,268,941,68
724,101167,25.4,270,945,67
1045,101164,25.4,273,947,67
1366,101169,25.4,277,948,67
1687,101169,25.4,280,949,67
2008,101163,25.4,284,950,67
2328,101167,25.4,286,949,67
2649,101170,25.4,288,950,67
2969,101168,25.4,291,950,68
3293,101159,25.4,293,950,68
3613,101168,25.4,295,950,68
3934,101169,25.4,296,950,68
4255,101164,25.4,297,950,68
4578,101163,25.4,299,950,69
4899,101167,25.4,300,950,69
5220,101164,25.4,301,950,69
5540,101164,25.4,302,950,69
5861,101163,25.4,302,949,69
6181,101165,25.4,303,949,70
6502,101164,25.4,304,949,70
6823,101165,25.4,304,949,70
7144,101165,25.4,305,949,70
7464,101167,25.4,306,949,70
7785,101160,25.4,306,950,71
8105,101164,25.4,307,950,71
8426,101163,25.4,308,950,71
8747,101162,25.4,308,950,71
9068,101163,25.4,309,950,71
9391,101163,25.4,309,950,72
9712,101166,25.4,309,950,72
10033,101166,25.4,310,950,72
10353,101170,25.4,310,950,72
10674,101162,25.4,311,950,72
10994,101164,25.4,312,950,72
11315,101164,25.4,312,950,73
11636,101163,25.4,313,950,73
11957,101166,25.4,313,950,73
12277,101165,25.4,314,950,73
12598,101169,25.4,314,950,73
12920,101164,25.4,315,950,73
13241,101165,25.4,315,950,74
13561,101165,25.4,316,950,74
13882,101166,25.4,316,950,74
14205,101166,25.4,316,950,74
14526,101162,25.4,317,950,74
14848,101165,25.4,317,950,74
15168,101165,25.4,318,950,75
15489,101165,25.4,318,950,75
15809,101166,25.4,319,951,75
16130,101164,25.4,320,951,75
16450,101166,25.4,320,951,75
16772,101161,25.4,321,951,75
17092,101165,25.4,321,950,76
17413,101164,25.4,321,950,76
17733,101161,25.4,322,950,76
18054,101164,25.4,322,950,76
18375,101162,25.4,322,950,76
18696,101166,25.4,322,950,76
19019,101167,25.4,322,950,76
19340,101167,25.4,322,949,76
19660,101164,25.4,323,950,76
19981,101167,25.4,323,950,77
20301,101166,25.4,323,950,77
20623,101164,25.4,324,949,77
20943,101165,25.4,324,949,77
21264,101160,25.4,325,949,77
21584,101161,25.4,325,949,77
21905,101165,25.4,325,949,77
22226,101163,25.4,325,949,77
22548,101168,25.4,325,949,77
22870,101165,25.4,325,949,78
23190,101164,25.4,325,948,78
23511,101165,25.4,325,949,78
23834,101162,25.4,325,948,78
24155,101162,25.4,325,948,78
24475,101161,25.4,326,948,78
24796,101162,25.4,326,949,78
25117,101167,25.4,326,949,78
25438,101162,25.4,326,949,78
25758,101168,25.4,326,949,78
26079,101164,25.4,327,949,78
26399,101168,25.4,327,949,78
26721,101166,25.4,328,949,79
27041,101170,25.4,328,949,79
27362,101167,25.4,329,949,79
27682,101167,25.4,329,949,79
28003,101166,25.4,329,949,79
28324,101165,25.4,329,949,79
28645,101163,25.4,330,948,79
28963,101159,25.4,330,948,79
29284,101164,25.4,330,948,79
29604,101162,25.4,330,948,79
29925,101172,25.4,330,948,79
30245,101159,25.4,331,948,80
30566,101167,25.4,331,948,80
30886,101163,25.4,331,948,80
31207,101164,25.4,331,948,80
31527,101162,25.4,331,947,80
31848,101164,25.4,331,948,80
32168,101163,25.4,331,947,80
32491,101164,25.4,331,947,80
32812,101163,25.4,331,947,80
33132,101166,25.4,331,947,80
33453,101163,25.4,331,947,80
33775,101164,25.4,331,947,80
34097,101163,25.4,331,947,80
34417,101164,25.4,331,947,80
34738,101163,25.4,331,947,80
35058,101163,25.4,331,947,81
35379,101163,25.4,331,947,81
35699,101162,25.4,331,947,81
36020,101163,25.4,331,947,81
36340,101158,25.4,331,947,81
36661,101164,25.4,331,947,81
36981,101163,25.4,331,946,81
37302,101165,25.4,331,946,81
37622,101162,25.4,331,946,81
37943,101161,25.4,331,946,81
38263,101166,25.4,331,946,81
38587,101163,25.4,331,946,81
38907,101162,25.4,331,946,81
39228,101164,25.4,331,946,81
39548,101162,25.4,331,946,81
39870,101163,25.4,331,946,81
40190,101163,25.4,331,946,81
40511,101162,25.4,331,946,81
40832,101163,25.4,331,946,82
41152,101163,25.4,331,946,82
41473,101163,25.4,331,946,82
41794,101162,25.4,331,946,82
42116,101160,25.4,331,946,82
42437,101161,25.4,331,946,82
42758,101165,25.4,331,946,82
43078,101163,25.4,331,946,82
43402,101163,25.4,331,946,82
43722,101163,25.4,331,946,82
44043,101162,25.3,331,946,82
